@timestamp,event_type,hostname,user,parent_process,process_name,command_line,is_encoded,sender,recipient,attachment_name,attachment_flagged,event_id,task_name,task_command
2026-07-20T11:26:00,process_creation,WORKSTATION-050,mchen,explorer.exe,chrome.exe,chrome.exe,False,,,,,,,
2026-07-20T11:44:00,process_creation,WORKSTATION-026,rpatel,explorer.exe,chrome.exe,chrome.exe,False,,,,,,,
2026-07-20T12:25:00,process_creation,WORKSTATION-011,rpatel,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T13:00:00,process_creation,WORKSTATION-018,agupta,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T13:37:00,process_creation,WORKSTATION-018,rpatel,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T14:09:00,process_creation,WORKSTATION-015,agupta,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T14:24:00,process_creation,WORKSTATION-010,agupta,explorer.exe,chrome.exe,chrome.exe,False,,,,,,,
2026-07-20T14:48:00,process_creation,WORKSTATION-032,agupta,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T15:14:00,process_creation,WORKSTATION-001,agupta,services.exe,svchost.exe,svchost.exe,False,,,,,,,
2026-07-20T15:50:00,process_creation,WORKSTATION-024,mchen,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T16:08:00,process_creation,WORKSTATION-040,jsmith,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T16:47:00,process_creation,WORKSTATION-026,rpatel,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T17:22:00,process_creation,WORKSTATION-007,rpatel,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T17:57:00,process_creation,WORKSTATION-013,jsmith,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T18:20:00,process_creation,WORKSTATION-011,jsmith,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T18:51:00,process_creation,WORKSTATION-004,jsmith,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T19:01:00,process_creation,WORKSTATION-010,jsmith,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T19:34:00,process_creation,WORKSTATION-002,jsmith,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T19:57:00,process_creation,WORKSTATION-025,agupta,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T20:23:00,process_creation,WORKSTATION-039,mchen,services.exe,svchost.exe,svchost.exe,False,,,,,,,
2026-07-20T21:03:00,process_creation,WORKSTATION-008,rpatel,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T21:42:00,process_creation,WORKSTATION-031,mchen,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T21:57:00,process_creation,WORKSTATION-007,mchen,explorer.exe,chrome.exe,chrome.exe,False,,,,,,,
2026-07-20T22:23:00,process_creation,WORKSTATION-045,agupta,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-20T23:06:00,process_creation,WORKSTATION-014,mchen,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
2026-07-20T23:25:00,process_creation,WORKSTATION-002,mchen,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-20T23:40:00,process_creation,WORKSTATION-034,mchen,services.exe,svchost.exe,svchost.exe,False,,,,,,,
2026-07-21T00:00:00,process_creation,WORKSTATION-050,agupta,services.exe,svchost.exe,svchost.exe,False,,,,,,,
2026-07-21T00:44:00,process_creation,WORKSTATION-050,mchen,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-21T01:08:00,process_creation,WORKSTATION-049,agupta,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-21T01:33:00,process_creation,WORKSTATION-048,agupta,explorer.exe,outlook.exe,outlook.exe,False,,,,,,,
2026-07-21T01:55:00,process_creation,WORKSTATION-032,mchen,cmd.exe,ping.exe,ping.exe,False,,,,,,,
2026-07-21T02:06:00,process_creation,WORKSTATION-018,rpatel,explorer.exe,notepad.exe,notepad.exe,False,,,,,,,
